term,uses,speechpart
argentina,4022,
showers,4021,
deck,4020,
kai,4020,
nos,4020,
returned,4020,
turtle,4018,
district,4017,
flesh,4016,
safety,4015,
reminding,4014,
destroyed,4012,
spongebob,4012,
disappear,4010,
unhappy,4010,
adults,4009,
arse,4006,
ayaw,4006,
chi,4006,
xoxo,4005,
messy,4004,
tengo,4004,
kelsey,4003,
takers,4002,
vampires,4002,
auntie,4001,
cage,4000,
nang,3998,
swollen,3997,
globe,3996,
honors,3996,
carpet,3995,
goodmorning,3988,
caused,3986,
noodles,3986,
rode,3986,
amo,3985,
mask,3982,
frnds,3978,
sleepin,3978,
madison,3975,
strangers,3975,
yearbook,3974,
appreciation,3973,
brighter,3973,
dull,3973,
pandora,3973,
belt,3972,
ireland,3972,
logan,3971,
royal,3971,
besties,3969,
chloe,3966,
author,3964,
iam,3963,
surrounded,3962,
soy,3961,
individual,3960,
shaking,3959,
italy,3958,
else's,3957,
pretending,3957,
gossip,3951,
sue,3951,
smooth,3947,
treating,3947,
trapped,3945,
tru,3944,
windy,3943,
quotes,3942,
string,3940,
larry,3936,
migraine,3936,
anu,3935,
sour,3935,
disgusting,3934,
trailer,3934,
thingy,3933,
eminem,3931,
pr,3931,
accent,3929,n
charlotte,3929,
pile,3929,
dexter,3928,
halfway,3928,
christina,3926,
excuses,3926,
aj,3924,
danger,3924,
beers,3922,
benefits,3919,
bien,3919,
options,3918,
upcoming,3918,
commercials,3917,
world's,3917,
entry,3913,
spaghetti,3913,
stones,3912,
spiritual,3908,
jd,3907,
applied,3905,
kansas,3905,
appt,3903,
amazingly,3901,
revision,3901,
vikings,3901,
xp,3901,
wrestling,3900,
scored,3897,
acts,3896,
isa,3896,
viva,3896,
claim,3895,
robot,3895,
sec,3894,
sings,3894,
cameron,3892,
females,3892,
confuse,3891,
southern,3888,
cigarette,3884,
mc,3884,
empire,3883,
limited,3883,
ot,3882,
rum,3881,
adore,3879,
pleasant,3879,
bust,3876,
boi,3874,
pork,3874,
tum,3874,
expectations,3873,
hatred,3873,
sleepover,3872,
practicing,3871,
enjoys,3869,
ir,3867,
mat,3867,
picnic,3867,
flew,3866,
updated,3865,
prob,3864,
compared,3862,
thier,3862,
sleepless,3861,
bodies,3860,
frog,3860,
humanity,3860,
responsibility,3854,
lounge,3853,
cowboy,3847,
liverpool,3847,
sayo,3847,
offered,3846,
racing,3844,
savior,3843,
lucy,3842,
bare,3837,
blizzard,3837,
downloading,3837,
highway,3835,
rape,3833,
understands,3833,
services,3832,
dizzy,3831,
tail,3830,
drops,3828,
owner,3827,
alyssa,3824,
jackie,3823,
butterflies,3822,
faithful,3822,
tanning,3822,
legit,3821,
sunburn,3821,
palm,3818,
porch,3817,
sunset,3817,
split,3816,
permit,3815,
nut,3814,
transformers,3814,
tap,3813,
rejoice,3811,
pakistan,3808,
pan,3807,
orlando,3806,
fallin,3805,
phil,3805,
cole,3803,
greg,3803,
damnit,3800,
gb,3798,
majority,3798,
panda,3797,
estoy,3796,
humble,3795,
joining,3794,
europe,3791,
singer,3790,
meri,3789,
sama,3789,
kicks,3788,
jonathan,3787,
holes,3780,
pwede,3780,
unit,3778,
active,3775,
attacked,3773,
anxious,3772,
rooms,3771,
minor,3770,
talented,3770,
jenny,3769,
huhu,3768,
management,3768,
pushed,3768,
hee,3766,
defeat,3765,
bummed,3764,
julia,3763,
whilst,3763,
multiple,3761,
circumstances,3760,
beard,3759,
phew,3755,
simon,3755,
defense,3753,
kickin,3753,
liz,3753,
teh,3752,
belief,3749,
century,3749,
evry,3748,
cal,3746,
grabe,3744,
casa,3742,
pole,3742,
downs,3740,
gates,3738,
mature,3738,
seasons,3738,
dictionary,3737,
han,3735,
rugby,3731,
mn,3730,
vanilla,3730,
pussy,3729,
image,3725,
flags,3724,
independent,3724,
thumbs,3724,
guest,3723,
spit,3723,
rides,3722,
startin,3721,
shave,3720,
perform,3719,
someones,3718,
wrist,3718,
champion,3716,
t_t,3716,
snowed,3715,
jen,3714,
fee,3712,
olivia,3710,
remains,3708,
tend,3706,
effing,3704,
wing,3704,
contagious,3703,
messing,3703,
buried,3701,
proverbs,3701,
provide,3701,
porn,3700,
mata,3697,
sino,3697,
uno,3697,
carried,3694,
mal,3694,
financial,3693,
apt,3686,
creating,3686,
tube,3684,
gracias,3682,
owl,3681,
trail,3680,
joshua,3676,
buzz,3674,
billion,3673,
depends,3672,
sorta,3672,
ron,3671,
situations,3671,
began,3670,
seats,3669,
heres,3666,
grows,3662,
frustrating,3659,
nikki,3659,
background,3658,
ribs,3657,
beth,3653,
bobby,3651,
drake,3651,
ross,3651,
badass,3650,
joey,3650,
earl,3649,
paragraph,3649,
landed,3647,
sharp,3647,
soundtrack,3647,
chicks,3645,
election,3645,
oct,3645,
shelter,3644,
sims,3644,
pets,3643,
tonight's,3643,
crashed,3642,
handed,3640,
goood,3639,
prison,3639,
bend,3638,
julie,3638,
cries,3637,
culture,3637,
soap,3637,
warming,3637,
moral,3635,
tx,3633,
drill,3628,
mmmmmm,3626,
pump,3626,
kittens,3625,
sept,3625,
hurricane,3624,
beneath,3622,
removed,3622,
confirmed,3621,
opera,3618,
autumn,3617,
swine,3616,
worthy,3615,
curry,3614,
casey,3613,
throws,3612,
argument,3609,
pill,3609,
tips,3606,
tomorrows,3605,
dwn,3603,
molly,3603,
shattered,3603,
adds,3602,
insult,3602,
cakes,3600,
winds,3600,
attempting,3598,
flame,3598,
damned,3596,
;p,3593,emoji
benefit,3593,
louise,3593,
brush,3589,
mucho,3587,
chores,3586,
ironic,3585,
retreat,3585,
creek,3584,
navy,3584,
slide,3584,
confess,3583,
caffeine,3582,
ace,3581,n
singapore,3581,
tragedy,3581,
bam,3580,
wer,3580,
error,3579,
knight,3579,
raising,3579,
butterfly,3578,
wipe,3577,
department,3575,
anxiety,3574,
nerve,3573,
plants,3573,
professional,3573,
ohhhh,3571,
fitness,3570,
gravity,3566,
relate,3566,
jose,3565,
walker,3565,
gained,3564,
sister's,3563,
cheesecake,3560,
yer,3559,
natin,3556,
procrastinating,3555,
remembers,3554,
patch,3553,
decides,3552,
recognize,3550,
benjamin,3549,
nightmares,3549,
philly,3549,
shannon,3549,
released,3548,
bonfire,3547,
amp,3544,
insert,3542,
wla,3542,
tool,3540,
cap,3539,
bean,3537,
museum,3537,
motivated,3536,
gate,3535,
thnx,3534,
beware,3533,
danced,3533,
hardcore,3533,
tooo,3533,
convinced,3530,
wakes,3530,
beatles,3529,
reminder,3529,
swan,3527,
stopping,3526,
wrapping,3526,
burst,3524,
driveway,3524,
ducks,3522,
sarcasm,3522,
indiana,3519,
torture,3518,
phoenix,3516,
websites,3516,
=[,3513,emoji
exact,3513,
tires,3513,
cock,3512,
kuch,3512,
shane,3512,
entertain,3511,
cinema,3510,
sword,3510,
effects,3509,
belive,3507,
concentrate,3507,
sides,3505,
booty,3503,
hooked,3503,
claire,3502,
marilyn,3501,
sausage,3501,
rising,3500,
envy,3499,
garlic,3499,
naughty,3496,
it'd,3494,
beta,3492,
eternity,3492,
happily,3492,
relaxed,3492,
bruce,3491,
deserved,3489,
blueberry,3488,
shadows,3487,
wreck,3487,
garbage,3486,
clever,3485,
tonights,3485,
wilson,3485,
tnx,3483,
ink,3482,
dresses,3481,
hump,3481,
skill,3481,
grilled,3480,
understood,3480,
complex,3479,
perfection,3479,
rick,3479,
chef,3477,
highschool,3475,
motion,3473,
spa,3472,
pun,3471,
concerned,3470,
lesbian,3469,
mwah,3468,
sheet,3466,
hadn't,3463,
notifications,3463,
concept,3462,
divine,3461,
ito,3461,
reward,3461,
compare,3458,
perspective,3458,
pledge,3458,
mega,3456,
counter,3454,
collection,3451,
fame,3451,
frickin,3449,
killin,3448,
comfy,3445,
fired,3445,
springs,3445,
lions,3444,
selamat,3444,
temporary,3443,
define,3442,
dew,3440,
accomplish,3439,v
bond,3439,
leo,3439,
attending,3433,
desperately,3433,
upstairs,3432,
wears,3431,
anak,3430,
bud,3429,
whiskey,3429,
denver,3428,
package,3427,
keith,3425,
nada,3424,
crossing,3423,
pissing,3423,
television,3422,
worm,3419,
nana,3417,
resist,3415,
slut,3415,
chocolates,3411,
hiking,3411,
material,3411,
would've,3409,
films,3408,
skiing,3408,
cared,3406,
shell,3406,
crashing,3405,
ghetto,3405,
masaya,3404,
duke,3400,
focused,3398,
hun,3398,
shiny,3398,
map,3396,
range,3395,
e-mail,3394,
backyard,3392,
ceiling,3392,
hammer,3392,
ding,3390,
nighter,3390,
dar,3388,
deeper,3387,
jade,3387,
britney,3385,
replaced,3385,
previous,3384,
mayb,3382,
cm,3379,
pre,3378,
travis,3377,
performing,3376,
float,3375,
rally,3375,
engine,3374,
should've,3374,
sophie,3374,
experiences,3372,
graduated,3371,
headphones,3371,
cliff,3370,
twist,3370,
wnt,3370,
traveling,3369,
bryan,3368,
everything's,3367,
hasnt,3366,
lincoln,3366,
argue,3365,
voting,3365,
drowning,3363,
oregon,3362,
sexual,3362,
recording,3361,
dropping,3360,
tama,3360,
terribly,3360,
boxing,3359,
dean,3359,
cracked,3358,
sorted,3357,
improve,3355,
covers,3353,
pang,3353,
mann,3352,
actor,3350,
hahahahah,3350,
oldest,3350,
skate,3350,
editing,3349,
habits,3348,
timing,3347,
demand,3344,
theyre,3344,
arsenal,3342,
andrea,3341,
uploading,3339,
grounded,3338,
annual,3337,
calculus,3337,
disneyland,3337,
nieces,3335,
thai,3335,
immediately,3333,
manchester,3333,
ease,3331,
wounds,3331,
chin,3330,
immature,3330,
wink,3328,
core,3327,
hunger,3327,
poking,3327,
sniff,3327,
stil,3327,
abby,3326,n
divorce,3325,
goddamn,3325,
graduating,3325,
grrrrr,3323,
manga,3323,
busted,3321,
muah,3321,
cabin,3320,
craig,3318,
satan,3318,
eff,3316,
kanye,3316,
ken,3316,
feeding,3315,
flood,3315,
reaching,3314,
lean,3311,
ski,3311,
stats,3311,
fighter,3310,
surprisingly,3310,
tunes,3310,
awesomeness,3309,
route,3309,
uhh,3307,
comic,3305,
unlike,3305,
spoken,3304,
violent,3303,
sya,3301,
arrested,3300,
amusing,3295,
victim,3295,
learnt,3293,
sunrise,3293,
assholes,3291,
blake,3290,
hectic,3290,
a's,3289,
dates,3287,
delhi,3287,
urban,3286,
lemonade,3284,
uploaded,3284,
nila,3283,
handful,3282,
meets,3282,
cycle,3280,
dip,3280,
folk,3280,
cloudy,3278,
farewell,3277,
challenges,3276,
tomato,3276,
superman,3275,
latin,3273,
pal,3273,
assume,3269,
sweetheart,3269,
cartoons,3267,
taxi,3266,
barbie,3265,
bucket,3264,
ordinary,3264,
religious,3264,
debating,3263,
surround,3263,
haven,3262,
sends,3260,
salon,3257,
pains,3256,
huhuhu,3255,
siblings,3255,
beings,3253,
cheek,3253,
connected,3253,
product,3253,
confident,3252,
touching,3252,
doll,3250,
rolled,3250,
mayo,3249,
pong,3249,
bits,3246,
chosen,3246,
eachother,3245,
thurs,3244,
penny,3243,
smiled,3241,
earn,3240,
lebron,3240,
rebel,3240,
dough,3238,
ngaun,3238,
factory,3236,
fence,3232,
wizard,3232,
anderson,3231,
nba,3231,
dito,3230,
muy,3230,
nephews,3229,
apocalypse,3228,
karen,3228,
steel,3228,
unstoppable,3222,
grandmother,3221,
marine,3221,
suggest,3221,
weigh,3221,
salvation,3220,
teddy,3220,
tsunami,3220,
virgin,3220,
afghanistan,3215,
ebay,3215,
(;,3213,emoji
desires,3213,
mint,3213,
nfl,3213,
logic,3212,
goofy,3211,
offically,3211,
pirates,3210,
reflection,3210,
crisis,3208,
trial,3208,
eats,3206,
recover,3206,
stores,3204,
monsters,3203,
pu,3200,
stab,3200,
homies,3199,
closes,3198,
lynn,3198,
tumblr,3198,
kin,3197,
phase,3197,
revolution,3197,
loneliness,3195,
cape,3193,
auburn,3191,
treats,3190,
bricks,3189,
fry,3189,
ignoring,3189,
temp,3189,
alexis,3188,
jar,3188,
nasa,3188,
bcoz,3186,
experienced,3186,
thesis,3186,
believed,3185,
i'ma,3185,
stock,3185,
wheels,3185,
plot,3183,
alll,3182,
experiment,3181,
iowa,3181,
shrimp,3181,
wheres,3181,
concern,3180,
tara,3180,
das,3177,
thousands,3177,
airplanes,3176,
village,3176,
glue,3175,
spoon,3175,
deliver,3174,
muse,3174,
fyi,3172,
homie,3172,
earned,3171,
convince,3170,
eyed,3170,
louder,3170,
znzfb,3166,
salsa,3165,
cheating,3163,
armed,3161,
bury,3161,
comming,3160,
photography,3160,
sinus,3160,
dessert,3158,
clothing,3157,
olds,3157,
forces,3154,
tasty,3154,
homes,3152,
puzzle,3152,
beiber,3151,
dressing,3151,
punched,3150,
hungover,3148,
wireless,3147,
nc,3146,
cups,3144,
lick,3142,
peas,3142,
tin,3140,
guyz,3138,
include,3136,
spice,3135,
levels,3134,
annoy,3132,
erase,3131,
stat,3131,
jasmine,3128,
surrender,3128,
woken,3128,
glow,3126,
tommy,3126,
alan,3122,
shines,3122,
midterms,3121,
opportunities,3121,
purse,3120,
spray,3120,
bleach,3119,
ford,3119,
resting,3119,
creation,3118,
digital,3116,
recovering,3116,
fits,3113,
hd,3113,
required,3112,
warmth,3112,
snack,3111,
callin,3110,
floating,3110,
witch,3110,
jungle,3109,
monkeys,3109,
function,3108,
sonic,3108,
accidentally,3107,adv
select,3107,
melody,3106,
gal,3105,
boards,3103,
resume,3103,
skins,3103,
spelling,3103,
eventful,3102,
kenny,3102,
nay,3102,
charity,3100,
lamb,3098,
trials,3098,
steph,3096,
yayy,3096,
lindsay,3094,
xxxxx,3094,
overwhelmed,3093,
icecream,3092,
miracles,3092,
heavenly,3091,
intelligence,3091,
thnk,3091,
bbc,3090,
butler,3090,
kiddos,3090,
hike,3089,
howard,3089,
ashes,3087,
jean,3087,
vous,3085,
fudge,3084,
wealth,3084,
delivery,3083,
mera,3079,
sneeze,3079,
blocked,3077,
pierced,3077,
strings,3077,
registered,3074,
weapon,3074,
somthing,3072,
spreading,3070,
bueno,3069,
nate,3068,
remote,3068,
ahhhhhh,3067,
compassion,3067,
tunnel,3067,
sofa,3066,
familiar,3064,
index,3063,
smarter,3062,
ceremony,3061,
rofl,3059,
gratitude,3053,
warrior,3052,
bastards,3051,
bruno,3050,
urgh,3050,
girl's,3049,
orchestra,3049,
doe,3048,
hats,3048,
meee,3048,
curl,3047,
edition,3047,
nuff,3047,
absence,3046,n
dish,3046,
brooke,3043,
prime,3042,
batch,3041,
exchange,3041,
causing,3040,
maine,3039,
signing,3039,
swag,3038,
sau,3037,
increase,3036,
sane,3036,
ads,3035,
surprises,3035,
obsession,3034,
freaked,3032,
nonsense,3032,
chew,3031,
ale,3030,
raped,3030,
relieved,3030,
shifts,3030,
luckily,3029,
mj,3029,
typical,3029,
auditions,3028,
greatness,3028,
brother's,3027,
could've,3027,
pineapple,3027,
geek,3026,
jai,3026,
prices,3025,
colored,3023,
highlight,3023,
delayed,3022,
casino,3021,
cinnamon,3021,
thirsty,3021,
addict,3020,
mam,3018,
randy,3018,
nooo,3017,
fairly,3015,
appears,3014,
teens,3014,
scout,3009,
visited,3007,
scheduled,3006,
groceries,3005,
aching,3004,
fifa,3003,
decorating,3002,
flippin,3002,
outa,3001,
ufc,3001,
akin,3000,
combination,3000,
russell,3000,
thn,3000,
lovee,2998,
remaining,2997,
x-mas,2997,
bp,2996,
antonio,2995,
stepped,2995,
xo,2995,
sweetie,2994,
lemme,2993,
disappointment,2992,
underneath,2992,
file,2991,
wishin,2991,
operation,2989,
hiring,2988,
kissing,2988,
pearl,2988,
tripped,2988,
flames,2986,
mite,2986,
nighty,2985,
candles,2984,
harm,2984,
childish,2983,
noises,2983,
activities,2982,
bailey,2982,
enjoyable,2982,
francisco,2982,
discovery,2981,
relaxin,2980,
dos,2978,
choke,2975,
bonus,2974,
rollin,2974,
8d,2972,emoji
struggling,2972,
urbandictionary,2972,
tron,2971,
engaged,2970,
era,2970,
dreamed,2969,
length,2969,
sumthin,2968,
reads,2967,
trips,2967,
montana,2965,
pace,2965,
recipe,2963,
nun,2962,
scar,2962,
crown,2960,
egypt,2960,
melting,2960,
memorable,2959,
committed,2958,
juliet,2957,
capable,2956,
serenity,2955,
elephant,2954,
dryer,2952,
softly,2951,
maker,2950,
mph,2948,
attached,2947,
elbow,2947,
triple,2947,
thang,2946,
ist,2945,
kobe,2945,
pilgrim,2945,
script,2945,
wifi,2944,
menu,2943,
commit,2942,
donuts,2942,
infinite,2942,
weirdest,2940,
kentucky,2939,
trek,2939,
nung,2938,
fricken,2936,
soaked,2935,
alicia,2934,
alexander,2933,
givin,2931,
naps,2931,
stadium,2931,
derek,2928,
geometry,2928,
lasted,2928,
limits,2928,
unable,2928,
helen,2927,
maging,2927,
restless,2926,
lighter,2925,
lily,2924,
naa,2924,
sila,2924,
direct,2923,
muffin,2923,
temple,2923,
mic,2920,
pause,2919,
snowboarding,2919,
loaded,2918,
titans,2917,
belongs,2916,
pg,2916,
register,2916,
chatting,2915,
ws,2915,
accepting,2913,a
motorcycle,2913,
smoked,2913,
teenagers,2913,
heavens,2911,
dot,2910,
hehehehe,2910,
maya,2909,
persons,2909,
shown,2908,
minnesota,2907,
night's,2907,
lobster,2906,
lovable,2904,
demons,2903,
downloaded,2902,
berry,2901,
fluffy,2901,
chains,2900,
bells,2899,
noodle,2899,
drums,2897,
miley,2897,
slave,2897,
tale,2897,
ala,2896,
awe,2896,
calc,2896,
spill,2896,
foundation,2895,
:[,2894,emoji
disco,2894,
wooooo,2892,
sooooooooo,2891,
cruz,2890,
lottery,2890,
daylight,2889,
they'd,2888,
printer,2887,
witness,2887,
annie,2886,
todayy,2886,
notebook,2884,
dyed,2883,
adams,2882,
swallow,2882,
gota,2880,
foolish,2879,
ehh,2878,
headaches,2877,
tina,2877,
discuss,2876,
separate,2876,
ahahaha,2874,
stable,2874,
tiffany,2874,
aches,2873,v
asses,2871,
carl,2871,
:x,2869,emoji
oklahoma,2869,
contemplating,2868,
deepest,2866,
thts,2866,
cells,2865,
communication,2865,
bash,2864,
that'll,2864,
smashed,2862,
carrying,2861,
verizon,2861,
elementary,2860,
resident,2860,
cows,2859,
shovel,2859,
galaxy,2858,
ky,2858,
successfully,2857,
dami,2856,
drivin,2855,
queens,2855,
stayin,2855,
centre,2854,
chickens,2854,
artists,2853,
grumpy,2853,
logged,2853,
orleans,2852,
jeez,2851,
volunteer,2851,
exhausting,2850,
scores,2850,
thirty,2850,
iii,2845,
douche,2844,
meg,2844,
polish,2844,
ani,2842,
challenged,2842,
african,2841,
alien,2841,
downstairs,2841,
foods,2840,
teenager,2839,
trey,2838,
rub,2837,
nicki,2836,
pudding,2835,
tellin,2835,
bump,2832,
deaf,2831,
smaller,2831,
foreign,2830,
sabi,2830,
ant,2829,
cleveland,2829,
tulog,2828,
luther,2825,
chilli,2824,
melbourne,2824,
purchase,2824,
offend,2823,
production,2822,
tee,2822,
^.^,2821,emoji
sighs,2821,
mumbai,2820,
nvr,2820,
offended,2820,
unicorn,2820,
distracted,2819,
payday,2819,
ralph,2819,
formal,2817,
gentle,2817,
supporting,2817,
illusion,2816,
carnival,2815,
goodnite,2815,
evan,2814,
amigos,2813,
emotionally,2812,
champagne,2811,
domestic,2811,
kapag,2811,
squirrel,2811,
uber,2811,
severe,2809,
whooo,2809,
hangout,2807,
impact,2807,
marley,2806,
chan,2805,
rocket,2805,
supplies,2805,
links,2802,
tempted,2801,
accounting,2800,a
beep,2800,
dreading,2800,
eddie,2800,
beg,2799,
sob,2799,
freaky,2798,
behavior,2797,
christine,2797,
calendar,2792,
connect,2792,
dearest,2792,
grandma's,2791,
pastor,2790,
tennessee,2789,
chilled,2788,
racist,2788,
spiders,2786,
budget,2785,
basket,2784,
upper,2784,
fuzzy,2782,
ss,2782,
defeated,2781,
offending,2780,
burgers,2779,
becky,2777,
balik,2776,
micheal,2776,
betty,2775,
circus,2775,
influence,2775,
twelve,2774,
>_<,2772,emoji
chop,2772,
permission,2772,
muffins,2769,
cigarettes,2768,
kristen,2768,
leaders,2767,
cancel,2766,
mana,2766,
vain,2766,
tower,2764,
races,2763,
lama,2760,
academy,2758,n
irony,2758,
strip,2757,
settled,2756,
leading,2755,
classmates,2754,
layin,2753,
paige,2753,
returning,2751,
champs,2750,
fucker,2750,
crackers,2749,
spirits,2748,
delight,2747,
worthless,2746,
everybody's,2742,
mae,2742,
semi,2742,
diamonds,2741,
hotter,2741,
wisconsin,2740,
reports,2739,
speakers,2739,
pencil,2738,
reed,2738,
spears,2738,
[:,2737,emoji
yess,2737,
coco,2736,
keen,2736,
western,2735,
speechless,2734,
aug,2733,
similar,2733,
u'll,2733,
screams,2732,
applying,2731,
cooper,2728,
playoffs,2728,
frustration,2726,
nicholas,2725,
harvest,2724,
stalker,2724,
zzz,2724,
equipment,2723,
sayang,2723,
irritating,2722,
moore,2722,
chapters,2720,
economy,2720,
permanent,2720,
kfc,2719,
host,2717,
noo,2716,
ulo,2716,
mel,2715,
women's,2710,
angela,2708,
snuggle,2705,
exception,2704,
upp,2704,
extended,2703,
gaya,2703,
nelson,2703,
dayz,2701,
everlasting,2701,
jab,2701,
answering,2700,
microsoft,2699,
veteran,2699,
kit,2698,
he'd,2697,
repair,2697,
calories,2696,
spark,2695,
kanina,2693,
scroll,2693,
drained,2691,
seed,2691,
sheen,2691,
stanley,2690,
offers,2689,
secure,2688,
moi,2687,
loveable,2685,
booze,2684,
crab,2684,
todd,2684,
waters,2684,
maid,2683,
warmer,2683,
elderly,2682,
corey,2681,
fuel,2680,
kailangan,2680,
singin,2680,
baby's,2679,
eli,2679,
morn,2679,
requires,2677,
suffered,2677,
trippin,2676,
registration,2675,
scale,2675,
cheesy,2674,
sweater,2674,
customers,2673,
hs,2673,
ricky,2673,
ughhhh,2673,
fart,2671,
hittin,2671,
conditions,2670,
trap,2669,
kool,2668,
exists,2667,
granny,2667,
pooped,2667,
wifey,2667,
sticking,2666,
woman's,2665,
display,2664,
romans,2663,
seeds,2663,
quest,2662,
tricks,2662,
hopin,2661,
user,2660,
harris,2659,
ridiculously,2659,
carlos,2657,
ringing,2657,
steam,2657,
updating,2657,
monica,2656,
roger,2654,
scholarship,2653,
vehicle,2652,
clown,2650,
deciding,2650,
creep,2649,
unfair,2649,
clark,2648,
priority,2648,
vid,2648,
havnt,2647,
noooo,2646,
veins,2645,
drunken,2642,
hopeless,2642,
port,2642,
waffles,2642,
auto,2641,
generally,2641,
tattoos,2641,
significant,2640,
jammin,2639,
noble,2639,
mums,2638,
sympathy,2637,
retard,2634,
fave,2633,
battles,2632,
hut,2632,
ramen,2632,
bruised,2630,
harmony,2630,
digging,2629,
sail,2629,
delivered,2628,
ancient,2627,
cities,2627,
deadly,2627,
rave,2627,
utah,2627,
evidence,2626,
spelled,2626,
endure,2625,
losers,2625,
ment,2625,
hears,2624,
holmes,2622,
bounce,2621,
universal,2621,
underwear,2620,
yippee,2620,
buck,2619,
destruction,2619,
electricity,2619,
locker,2619,
grief,2618,
liquor,2618,
mtv,2617,
minsan,2615,
nan,2615,
deleting,2614,
discussion,2614,
gentlemen,2613,
heartbeat,2613,
wound,2613,
debt,2612,
olympics,2612,
detroit,2611,
ryt,2609,
mitchell,2608,
metro,2607,
pancake,2607,
heater,2605,
pete,2604,
growth,2603,
income,2603,
jackass,2602,
jeep,2602,
loyal,2602,
images,2601,
sounded,2600,
youll,2598,
fog,2596,
tagged,2596,
aliens,2595,
offline,2595,
potty,2595,
buttons,2594,
disorder,2594,
pasok,2594,
bummer,2593,
dinosaur,2592,
disturbed,2591,
darkest,2590,
decade,2589,
pad,2589,
paperwork,2589,
stalking,2589,
chorus,2587,
stewart,2587,
flirting,2586,
puso,2586,
shawn,2586,
strikes,2586,
fork,2585,
lend,2584,
suns,2583,
temperature,2583,
tracks,2583,
cracks,2582,
allowing,2581,
yogurt,2581,
poster,2580,
primary,2578,
loosing,2577,
unbelievable,2577,
amused,2576,
balloon,2576,
piercing,2576,
tone,2576,
hoped,2575,
muslim,2575,
mentioned,2574,
wal-mart,2574,
gravy,2572,
lighting,2572,
mans,2571,
victims,2571,
children's,2570,
yayyy,2570,
girlies,2569,
rope,2567,
youve,2567,
users,2565,
bulls,2564,
nurses,2564,
>:(,2563,emoji
charm,2562,
lifted,2562,
liver,2561,
fred,2560,
sharks,2558,
stretch,2558,
carter,2557,
decorations,2557,
demon,2557,
joel,2557,
jealousy,2556,
concrete,2555,
lime,2552,
sc,2552,
slice,2551,
convention,2550,
convo,2550,
microwave,2550,
portland,2549,
flights,2547,
cupcake,2546,
strawberries,2544,
scotland,2543,
leather,2541,
pies,2541,
stressing,2539,
crawling,2536,
jury,2536,
paths,2536,
blade,2534,
pepsi,2534,
seeking,2534,
hooo,2533,
pigs,2533,
sox,2533,
yesss,2533,
cleanin,2532,
inn,2531,
mashed,2531,
jog,2530,
rained,2530,
paramore,2529,
obstacles,2527,
rubber,2526,
picks,2525,
prep,2525,
albums,2524,
bubbles,2524,
gospel,2524,
hott,2522,
onion,2522,
orders,2522,
overtime,2522,
property,2521,
chilly,2520,
arguing,2519,
shoulda,2519,
hack,2518,
almighty,2517,
christians,2517,
neil,2517,
yikes,2517,
compliment,2516,
leon,2516,
practical,2516,
sucker,2516,
waffle,2515,
development,2514,
peach,2514,
b'day,2513,
dancin,2513,
freaks,2512,
overnight,2512,
paycheck,2511,
sledding,2511,
cab,2510,
cookin,2510,
engineering,2510,
sobrang,2509,
construction,2506,
patiently,2504,
powder,2504,
russia,2504,
stroke,2504,
doom,2503,
trusting,2503,
donkey,2502,
ridin,2502,
juan,2501,
utterly,2501,
jessie,2500,
terry,2500,
baka,2498,
prayed,2498,
chai,2497,
movement,2496,
hurray,2495,
mickey,2495,
mil,2495,
relatives,2495,
shortly,2495,
newest,2494,
lindsey,2493,
ruining,2492,
bingo,2491,
costs,2490,
evans,2490,
sim,2490,
importantly,2489,
popped,2489,
titanic,2489,
slight,2488,
abused,2487,v
noah,2486,
facing,2485,
maggie,2485,
volume,2485,
replies,2484,
cave,2483,
welp,2483,
owned,2482,
aids,2480,
dork,2479,
loan,2479,
philippines,2479,
virtue,2479,
buti,2478,
murphy,2478,
forehead,2476,
leaf,2476,
temptation,2476,
contract,2475,
kidney,2475,
tad,2475,
grin,2474,
pipe,2473,
signal,2473,
awwww,2472,
civil,2471,
label,2471,
shits,2470,
laser,2469,
fields,2468,
files,2468,
possibility,2468,
shorter,2468,
ella,2467,
needa,2467,
organized,2467,
sucking,2467,
weary,2467,
expression,2466,
fiction,2466,
standard,2466,
ia,2465,
intentions,2465,
yeahh,2465,
pitch,2464,
congress,2463,
namin,2463,
crunch,2462,
biscuits,2461,
umbrella,2461,
autism,2460,
feast,2460,
gut,2460,
disturbing,2456,
spicy,2456,
tent,2456,
ting,2456,
explore,2455,
dale,2454,
nintendo,2454,
chemical,2453,
buffet,2449,
poppin,2449,
holland,2448,
troy,2448,
roots,2445,
shade,2445,
thunderstorm,2445,
girly,2444,
allegiance,2443,
dakota,2443,
dramatic,2443,
glitter,2442,
grip,2442,
object,2442,
directly,2441,
babes,2440,
cheering,2440,
gloves,2440,
charming,2438,
lastnight,2438,
hallelujah,2437,
cunt,2436,
injury,2435,
tearing,2435,
amaze,2434,
statistics,2433,
warfare,2433,
bees,2431,
equals,2431,
erica,2430,
honour,2430,
oprah,2430,
parker,2427,
sandwiches,2427,
coaster,2426,
goodluck,2426,
loses,2426,
tab,2426,
workers,2426,
shakespeare,2425,
products,2424,
canadian,2423,
miranda,2423,
server,2422,
lust,2417,
begging,2416,
pony,2415,
jonas,2414,
laughin,2414,
alittle,2411,
accounts,2410,n
acid,2410,
columbus,2410,
gals,2409,
peed,2409,
tues,2408,
make-up,2407,
mysterious,2406,
nevermind,2406,
defend,2405,
meetings,2405,
creed,2404,
