term,uses,speechpart
bunch,15619,
hurry,15564,
spirit,15559,
difference,15534,
bitches,15528,
hoo,15525,
mins,15448,
tonite,15448,
bill,15441,
shirt,15440,
yr,15404,
candy,15385,
sunny,15380,
ear,15368,
dang,15366,
seconds,15359,
fixed,15353,
students,15329,
official,15328,
land,15305,
tire,15290,
grade,15276,
possibly,15259,
woohoo,15251,
punch,15250,
patient,15242,
smoke,15234,
farmville,15232,
aku,15228,
quit,15223,
mornin,15222,
re-post,15172,
alex,15168,
standing,15159,
closer,15126,
empty,15110,
hes,15093,
exciting,15032,
nga,15007,
bird,15005,
shine,14993,
ending,14982,
po,14982,
cousin,14979,
honest,14976,
november,14937,
praying,14929,
lng,14904,
gosh,14900,
closed,14894,
turning,14886,
surprise,14869,
um,14868,
schedule,14860,
fever,14831,
character,14828,
counting,14804,
yellow,14792,
matt,14768,
sale,14767,
places,14736,
begins,14733,
breaking,14726,
bible,14715,
student,14714,
stick,14671,
here's,14665,
river,14655,
milk,14650,
smh,14636,
clear,14621,
insane,14595,
march,14591,
dare,14575,
snowing,14563,
biggest,14561,
keeping,14561,
gun,14541,
aunt,14522,
situation,14505,
west,14487,
goodness,14486,
tan,14477,
notice,14469,
shows,14465,
las,14442,
happening,14405,
lab,14366,
regret,14365,
finger,14338,
button,14336,
virus,14336,
stopped,14334,
terrible,14311,
leaves,14293,
wings,14289,
messages,14284,
judge,14277,
teach,14277,
rite,14275,
sea,14252,
ii,14244,
brave,14228,
easier,14206,
silly,14206,
north,14185,
level,14182,
childhood,14173,
):,14169,emoji
total,14168,
impossible,14139,
purple,14125,
letting,14112,
heck,14106,
paint,14093,
ek,14059,
pie,14058,
hotel,14053,
moms,14051,
misses,14042,
orange,14041,
blow,14033,
feed,14009,
screw,14004,
senior,14004,
race,13931,
lead,13928,
camera,13920,
slowly,13915,
agree,13912,
national,13910,
contact,13883,
ps,13863,
twitter,13862,
doubt,13840,
personal,13838,
form,13821,
mothers,13808,
cough,13799,
anniversary,13793,
upset,13793,
wonders,13779,
police,13778,
brings,13767,
mistake,13766,
garden,13746,
cartoon,13740,
results,13738,
suppose,13737,
congrats,13725,
animal,13711,
texas,13699,
blessing,13697,
uncle,13696,
ap,13682,
paul,13671,
b-day,13668,
flight,13658,
decisions,13651,
van,13642,
marry,13634,
airport,13620,
woop,13612,
apartment,13611,
board,13584,
focus,13583,
ben,13572,
york,13548,
vegas,13547,
uh,13515,
hole,13502,
jackson,13498,
row,13483,
attack,13471,
puppy,13453,
yard,13449,
ay,13440,
bullshit,13438,
field,13422,
couch,13421,
remind,13420,
ryan,13406,
brought,13400,
xxx,13375,
machine,13374,
mode,13363,
nigga,13362,
er,13355,
england,13351,
older,13338,
kicked,13330,
fill,13326,
table,13324,
lame,13315,
arm,13299,
productive,13299,
faces,13292,
pages,13291,
jo,13288,
gas,13285,
kita,13280,
fm,13267,
hill,13264,
bath,13255,
riding,13248,
moved,13244,
raise,13243,
gorgeous,13231,
girlfriend,13229,
mountain,13219,
ol,13201,
wrote,13195,
swim,13193,
fans,13190,
gifts,13182,
horse,13182,
workout,13159,
suggestions,13138,
dam,13137,
drinks,13136,
report,13123,
blind,13114,
tight,13109,
florida,13105,
honey,13088,
thin,13077,
main,13075,
d:,13069,
island,13052,
toy,13040,
meh,13037,
december,13033,
planning,13022,
bank,13021,
wise,13006,
charlie,13001,
surprised,12983,
wanting,12978,
series,12971,
posted,12966,
flying,12957,
hilarious,12954,
cousins,12948,
bang,12909,
ended,12899,
tear,12893,
boss,12892,
jersey,12873,
plane,12868,
mmm,12862,
turkey,12803,
graduation,12786,
bread,12773,
extremely,12769,
cats,12768,
it'll,12764,
lee,12754,
smiling,12747,
workin,12747,
skin,12744,
hahahaha,12740,
period,12732,
cares,12731,
cards,12714,
joe,12714,
changing,12699,
praise,12699,
event,12698,
pulled,12666,
faster,12659,
god's,12659,
blessings,12643,
invite,12635,
sana,12631,
allah,12630,
cnt,12630,
scream,12616,
grand,12610,
journey,12595,
lahat,12564,
idiot,12551,
request,12547,
ca,12528,
cars,12524,
emily,12507,
duty,12504,
wet,12492,
pretend,12491,
tryin,12478,
ini,12467,
blame,12458,
london,12449,
iphone,12441,
comments,12435,
mrs,12430,
push,12400,
awsome,12378,
talked,12355,
simply,12353,
mile,12351,
wasnt,12351,
wide,12328,
action,12319,
stronger,12311,
meaning,12307,
princess,12307,
cookie,12301,
hmmmm,12299,
accepted,12295,a
rules,12295,
leg,12283,
somethin,12281,
wo,12266,
den,12259,
hay,12258,
nature,12251,
bottom,12243,
center,12241,
shame,12240,
teachers,12238,
photo,12236,
price,12228,
windows,12211,
camping,12209,
nom,12201,
challenge,12198,
tattoo,12189,
path,12185,
growing,12181,
shake,12176,
zombie,12172,
:'(,12161,emoji
poke,12138,
wid,12126,
nt,12125,
comin,12123,
advice,12116,
stressed,12115,
adventure,12103,
shouldn't,12093,
george,12091,
dislike,12076,
explain,12074,
prom,12071,
grown,12054,
public,12050,
ada,12049,
link,12045,
addicted,12034,
mary,12020,
universe,12008,
clock,11991,
mail,11990,
building,11980,
result,11964,
couldnt,11947,
queen,11943,
balls,11930,
smiles,11918,
picked,11914,
worried,11914,
research,11909,
youth,11895,
states,11880,
^_^,11877,emoji
darkness,11872,
hat,11862,
language,11860,
lived,11859,
everytime,11848,
buddy,11847,
block,11845,
monster,11818,
courage,11809,
xbox,11785,
attitude,11765,
wash,11756,
grateful,11754,
carry,11749,
honestly,11742,
ly,11742,
pieces,11702,
whoop,11700,
mike,11695,
hr,11669,
adam,11665,
ung,11660,
presents,11659,
united,11656,
nah,11655,
rule,11631,
thee,11612,
josh,11606,
katie,11605,
havin,11597,
bowling,11596,
rise,11594,
heavy,11584,
mention,11581,
mirror,11566,
cos,11563,
stayed,11562,
usa,11523,
sort,11499,
heh,11496,
rough,11493,
mas,11488,
screen,11482,
speech,11481,
awhile,11447,
knowledge,11444,
japan,11440,
soooooo,11436,
sending,11430,
assignment,11426,
